,ticker,date,poswords,negwords,daily_filing_count
493,AMGN,2015-11-02,13465.0,18647.0,1
494,AMGN,2016-01-28,2333.0,4167.0,1
495,AMGN,2016-02-16,15087.0,19382.0,1
496,AMGN,2016-02-17,3238.0,5583.0,1
497,AMGN,2016-02-23,81.0,350.0,1
498,AMGN,2016-02-25,5153.0,9048.0,1
499,AMGN,2016-03-03,247.0,737.0,1
500,AMGN,2016-03-08,3354.0,6826.0,1
501,AMGN,2016-04-28,1818.0,3747.0,1
502,AMGN,2016-05-02,13771.0,19186.0,1
503,AMGN,2016-05-13,714.0,1705.0,1
504,AMGN,2016-05-19,400.0,973.0,1
505,AMGN,2016-05-26,1096.0,2544.0,1
506,AMGN,2016-05-31,920.0,2687.0,1
507,AMGN,2016-06-10,623.0,1363.0,1
508,AMGN,2016-06-14,5160.0,9668.0,1
509,AMGN,2016-07-27,2431.0,4557.0,1
510,AMGN,2016-07-29,13730.0,18785.0,1
511,AMGN,2016-08-02,228.0,726.0,1
512,AMGN,2016-08-19,4925.0,8876.0,1
513,AMGN,2016-10-14,271.0,917.0,1
514,AMGN,2016-10-27,2552.0,4845.0,1
515,AMGN,2016-10-28,13568.0,18618.0,1
516,AMGN,2016-10-31,13898.0,19111.0,1
517,AMGN,2017-01-09,142.0,486.0,1
518,AMGN,2017-02-02,2970.0,8217.0,1
519,AMGN,2017-02-03,163.0,482.0,1
520,AMGN,2017-02-14,15075.0,19370.0,2
521,AMGN,2017-04-24,549.0,1374.0,1
522,AMGN,2017-04-26,13734.0,19047.0,2
523,AMGN,2017-05-11,6576.0,13581.0,1
524,AMGN,2017-05-22,271.0,1119.0,1
525,AMGN,2017-07-25,2473.0,8656.0,1
526,AMGN,2017-07-26,13604.0,18977.0,1
527,AMGN,2017-10-24,226.0,707.0,1
528,AMGN,2017-10-25,13564.0,18892.0,2
529,AMGN,2017-10-31,180.0,566.0,1
530,AMGN,2017-11-02,3869.0,8052.0,1
531,AMGN,2017-12-22,327.0,861.0,1
532,AMGN,2018-02-01,3357.0,10837.0,1
533,AMGN,2018-02-05,327.0,1141.0,1
534,AMGN,2018-02-13,15459.0,18912.0,1
535,AMGN,2018-04-24,13821.0,19108.0,2
536,AMGN,2018-05-22,492.0,1460.0,1
537,AMGN,2018-07-26,13734.0,18837.0,3
538,AMGN,2018-10-30,13798.0,18735.0,2
539,AMGN,2019-01-29,8681.0,20077.0,1
540,AMGN,2019-02-08,634.0,2085.0,1
541,AMGN,2019-02-13,15512.0,19301.0,1
542,AMGN,2019-04-30,13533.0,18758.0,2
543,AMGN,2019-05-21,448.0,1181.0,1
544,AMGN,2019-07-30,10930.0,20536.0,2
545,AMGN,2019-08-26,13332.0,29471.0,1
546,AMGN,2019-09-25,264.0,874.0,1
547,AMGN,2019-10-18,1624.0,4178.0,1
548,AMGN,2019-10-23,1670.0,4181.0,1
549,AMGN,2019-10-29,11159.0,20230.0,2
550,AMGN,2019-10-31,2253.0,5490.0,1
551,AMGN,2019-11-21,2148.0,5339.0,1
552,AMGN,2019-12-12,11768.0,23899.0,1
553,AMGN,2020-01-02,1838.0,4555.0,1
554,AMGN,2020-01-30,8615.0,19899.0,1
555,AMGN,2020-02-07,226.0,823.0,1
556,AMGN,2020-02-12,12073.0,22297.0,1
557,AMGN,2020-02-21,7351.0,16325.0,1
558,AMGN,2020-03-31,1990.0,5169.0,1
559,AMGN,2020-04-30,11267.0,20299.0,2
560,AMGN,2020-05-06,5296.0,11405.0,1
561,AMGN,2020-05-20,1801.0,4510.0,1
562,BIIB,0,6152.0,7662.0,35
563,BIIB,2002-08-13,3094.0,3915.0,1
564,BIIB,2002-11-14,4971.0,6338.0,1
565,BIIB,2003-02-12,143.0,168.0,1
566,BIIB,2003-03-10,144.0,171.0,1
567,BIIB,2003-03-28,11554.0,13421.0,1
568,BIIB,2003-05-14,4602.0,9382.0,1
569,BIIB,2003-08-08,278.0,1034.0,1
570,BIIB,2003-08-14,5745.0,11438.0,1
571,BIIB,2003-10-31,5828.0,11399.0,1
572,BIIB,2003-12-11,276.0,1023.0,1
573,BIIB,2004-02-04,112.0,118.0,1
574,BIIB,2004-03-10,10174.0,12970.0,1
575,BIIB,2004-05-06,5645.0,6662.0,1
